description,nom_localisation,salarie_nombre,telephone
Conseil en systèmes et logiciels informatiques,"STRATON IT,LILLE",10 à 19 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"CORELIA,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Recherche-développement en autres sciences physiques et naturelles,"RAINETTE,JENLAIN",0 salarié,Modifier ces informations
Programmation informatique,"SOC NORD ELECTRONIQUE DE GESTION,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320761176
Conseil en systèmes et logiciels informatiques,"INODESIGN,CROIX",50 à 99 salariés,0787762130
Programmation informatique,"CODAXIS,LILLE",3 à 5 salariés,Modifier ces informations
Programmation informatique,"WHATSON-WEB,SAINT-ANDRE-LEZ-LILLE",10 à 19 salariés,Modifier ces informations
Autres activités de télécommunication,"HK FIBRE,WATTRELOS",0 salarié,Modifier ces informations
Portails Internet,"TELMEDIA,AVELIN",0 salarié,0320206693
Vente à distance sur catalogue spécialisé,"SHOWROOMPRIVE.COM,ROUBAIX",20 à 49 salariés,Modifier ces informations
Activités des agences de publicité,"MEDIAPOST,LENS",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,VILLENEUVE-D-ASCQ","
        ",Modifier ces informations
"Ingénierie, études techniques","VAL TUBES,BRUAY-SUR-L-ESCAUT",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"LOJELIS,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"ISHTAR GAMES,ROUBAIX",0 salarié,Modifier ces informations
Programmation informatique,"B MOBILE,TOURCOING",10 à 19 salariés,0320703567
Conseil en systèmes et logiciels informatiques,"C.B.S.I. - CODE BARRES ET SOLUTIONS IN,HENIN-BEAUMONT",50 à 99 salariés,0604590079
Programmation informatique,"SITUVE,TOURCOING",0 salarié,Modifier ces informations
,,,
,,,
"Traitement de données, hébergement et activités connexes","ATOS WORLDLINE,NOYELLES-LES-SECLIN",1 000 à 1 999 salariés,0320901158
Conseil en systèmes et logiciels informatiques,"STRATON IT,LILLE",10 à 19 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"CORELIA,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Recherche-développement en autres sciences physiques et naturelles,"RAINETTE,JENLAIN",0 salarié,Modifier ces informations
Programmation informatique,"SOC NORD ELECTRONIQUE DE GESTION,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320761176
Conseil en systèmes et logiciels informatiques,"INODESIGN,CROIX",50 à 99 salariés,0787762130
Programmation informatique,"CODAXIS,LILLE",3 à 5 salariés,Modifier ces informations
Programmation informatique,"WHATSON-WEB,SAINT-ANDRE-LEZ-LILLE",10 à 19 salariés,Modifier ces informations
Autres activités de télécommunication,"HK FIBRE,WATTRELOS",0 salarié,Modifier ces informations
Portails Internet,"TELMEDIA,AVELIN",0 salarié,0320206693
Vente à distance sur catalogue spécialisé,"SHOWROOMPRIVE.COM,ROUBAIX",20 à 49 salariés,Modifier ces informations
Activités des agences de publicité,"MEDIAPOST,LENS",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,VILLENEUVE-D-ASCQ","
        ",Modifier ces informations
"Ingénierie, études techniques","VAL TUBES,BRUAY-SUR-L-ESCAUT",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"LOJELIS,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"ISHTAR GAMES,ROUBAIX",0 salarié,Modifier ces informations
Programmation informatique,"B MOBILE,TOURCOING",10 à 19 salariés,0320703567
Conseil en systèmes et logiciels informatiques,"C.B.S.I. - CODE BARRES ET SOLUTIONS IN,HENIN-BEAUMONT",50 à 99 salariés,0604590079
Programmation informatique,"SITUVE,TOURCOING",0 salarié,Modifier ces informations
,,,
,,,
"Traitement de données, hébergement et activités connexes","ATOS WORLDLINE,NOYELLES-LES-SECLIN",1 000 à 1 999 salariés,0320901158
Conseil en systèmes et logiciels informatiques,"STRATON IT,LILLE",10 à 19 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"CORELIA,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Recherche-développement en autres sciences physiques et naturelles,"RAINETTE,JENLAIN",0 salarié,Modifier ces informations
Programmation informatique,"SOC NORD ELECTRONIQUE DE GESTION,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320761176
Conseil en systèmes et logiciels informatiques,"INODESIGN,CROIX",50 à 99 salariés,0787762130
Programmation informatique,"CODAXIS,LILLE",3 à 5 salariés,Modifier ces informations
Programmation informatique,"WHATSON-WEB,SAINT-ANDRE-LEZ-LILLE",10 à 19 salariés,Modifier ces informations
Autres activités de télécommunication,"HK FIBRE,WATTRELOS",0 salarié,Modifier ces informations
Portails Internet,"TELMEDIA,AVELIN",0 salarié,0320206693
Vente à distance sur catalogue spécialisé,"SHOWROOMPRIVE.COM,ROUBAIX",20 à 49 salariés,Modifier ces informations
Activités des agences de publicité,"MEDIAPOST,LENS",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,VILLENEUVE-D-ASCQ","
        ",Modifier ces informations
"Ingénierie, études techniques","VAL TUBES,BRUAY-SUR-L-ESCAUT",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"LOJELIS,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"ISHTAR GAMES,ROUBAIX",0 salarié,Modifier ces informations
Programmation informatique,"B MOBILE,TOURCOING",10 à 19 salariés,0320703567
Conseil en systèmes et logiciels informatiques,"C.B.S.I. - CODE BARRES ET SOLUTIONS IN,HENIN-BEAUMONT",50 à 99 salariés,0604590079
Programmation informatique,"SITUVE,TOURCOING",0 salarié,Modifier ces informations
,,,
,,,
"Traitement de données, hébergement et activités connexes","ATOS WORLDLINE,NOYELLES-LES-SECLIN",1 000 à 1 999 salariés,0320901158
Conseil en systèmes et logiciels informatiques,"STRATON IT,LILLE",10 à 19 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"CORELIA,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Recherche-développement en autres sciences physiques et naturelles,"RAINETTE,JENLAIN",0 salarié,Modifier ces informations
Programmation informatique,"SOC NORD ELECTRONIQUE DE GESTION,VILLENEUVE-D-ASCQ",20 à 49 salariés,0320761176
Conseil en systèmes et logiciels informatiques,"INODESIGN,CROIX",50 à 99 salariés,0787762130
Programmation informatique,"CODAXIS,LILLE",3 à 5 salariés,Modifier ces informations
Programmation informatique,"WHATSON-WEB,SAINT-ANDRE-LEZ-LILLE",10 à 19 salariés,Modifier ces informations
Autres activités de télécommunication,"HK FIBRE,WATTRELOS",0 salarié,Modifier ces informations
Portails Internet,"TELMEDIA,AVELIN",0 salarié,0320206693
Vente à distance sur catalogue spécialisé,"SHOWROOMPRIVE.COM,ROUBAIX",20 à 49 salariés,Modifier ces informations
Activités des agences de publicité,"MEDIAPOST,LENS",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,VILLENEUVE-D-ASCQ","
        ",Modifier ces informations
"Ingénierie, études techniques","VAL TUBES,BRUAY-SUR-L-ESCAUT",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"LOJELIS,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"ISHTAR GAMES,ROUBAIX",0 salarié,Modifier ces informations
Programmation informatique,"B MOBILE,TOURCOING",10 à 19 salariés,0320703567
Conseil en systèmes et logiciels informatiques,"C.B.S.I. - CODE BARRES ET SOLUTIONS IN,HENIN-BEAUMONT",50 à 99 salariés,0604590079
Programmation informatique,"SITUVE,TOURCOING",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
